KIC,TIC
7751495,159718965
9173751,274020047
11080130,416283980
6044528,137626911
12253890,299089358
4142730,121121891
4458346,394176721
5963412,137900395
8870661,351910628
9303817,268931936
11518314,27913810
9760627,158321692
9637299,279911561
4912593,121597952
2298034,122374359
3440840,122518742
8491014,159304507
10881388,416529210
7288122,270611214
9578436,158415900
3217026,120629167
7336662,123314496
7466053,272951532
12121750,27993370
7694960,271957828
10669515,270515877
5209632,169459427
11564882,27234952
5536038,137754881
7887791,159449703
2298343,122374369
10073971,159725615
5709103,137899750
4919039,122440531
5198234,138727210
7199724,63004406
6348031,120577608
6504725,164886728
11919109,27082498
8848600,185108760
8410876,123449650
8018169,158495780
8558799,159721313
12118993,27639959
8638878,272606721
7822257,63008955
8934208,164522510
10055700,123447151
10745796,27988007
6389180,170654297
8162568,159450551
10268835,159172498
7538897,271347597
11622718,28084709
5213402,170345970
11561259,26752957
6124552,137410133
1995431,120762046
5607690,121333119
7935479,383752460
7297736,272184786
6222201,184562406
6626854,272948000
11198011,27458039
8260234,269264972
4385644,184470219
10353660,272840307
8760917,271162473
5211634,169814566
4736457,121658858
4660997,138215524
7950112,158635693
9847877,273590845
9847269,273379154
4254979,122071779
3648907,137550493
6793282,272180618
3553456,138304556
5354578,121946569
9598455,271880875
7130728,271671904
9716843,271041166
9093392,270520264
5105805,138299803
4588407,169933598
1995666,120762120
4165502,138214211
6612086,270609215
7950840,158726119
4580911,184469514
9604701,273380294
5340798,237191426
9509020,123492696
9071662,164522724
3002516,138714023
12119949,27696326
2164791,137637285
7686022,240183519
9534205,271354082
7974106,272371739
11186450,416283671
6208741,137902888
6590307,158217435
9513869,351909665
3833036,120572752
10149411,271355917
4556608,122302034
5267811,122069741
7019772,158388471
9967908,273683889
8105543,271160173
10684673,267991311
5651153,171974562
9576414,158111789
3661327,139104274
6756181,164645905
10186796,123310432
9726932,273589873
7185040,158218343
3938162,120764760
5879876,137900045
7301340,272944652
7591919,279915273
5725202,168813252
9966897,273378747
7848324,268604424
6308250,170247843
11610220,26419516
5095699,122596016
5959908,137341002
7974165,272371691
10536177,63204235
9839336,271424759
11414465,27990682
6277632,122066732
11962845,26413713
8524728,184948817
6370181,138429714
5020044,138642574
12168721,27696077
5783884,122068678
3864053,138890008
9042766,273688067
8487576,158844247
3117402,137317490
6038512,122444944
11872139,27640845
3541881,122519072
10402509,159642540
5880666,138096347
10424717,268057601
5531694,137089993
5282288,138434045
3128129,138568587
9028276,270856770
5428123,120107493
7948260,158390149
8330614,185058444
5093188,122139015
8330116,185058304
9845416,273044287
5942047,120319632
3752076,137765503
7091594,123314869
2581394,137685514
10363233,269029314
5983759,169823303
5878249,137627513
8411137,123491045
10789074,298966178
1995796,120825428
5004628,122139124
9221434,275490111
7013924,164674896
7215954,272178842
5084077,120902019
2437353,122364741
6628101,273230698
9160486,270856418
7707601,268297124
1570099,122515406
7677956,159306804
3344944,137484641
5359082,122602069
7825546,240183130
4070800,138890829
9826871,159225307
4663860,138643891
8545909,351911169
12505815,299089943
10537442,63454805
7448512,240183887
7519190,158928546
5529977,122597051
6528464,270779644
9649541,63072603
4857827,169183067
7769016,272716219
9758420,351909232
6526280,137902137
8250189,273037712
11307013,27774177
7097703,164675030
10451382,123494667
10669856,26961183
7836423,272269556
7123312,270607316
8518182,268482331
5524229,121790416
3765607,184243094
12317483,351194332
5860294,120688959
5449391,137411927
8308949,271430045
6939772,158926326
3860253,138570617
3245661,138568870
10280768,271039571
7887960,159523209
6714024,273230543
10492459,268704846
9957403,271040565
3554253,138365652
10484900,272841872
10063028,158210955
4443452,120103037
7770471,273035649
10018820,271253323
4939875,184246698
9725925,273372173
6520697,159654006
4575863,139107762
4770881,169561204
6020867,258202644
10232364,269357737
11667277,27234347
7202395,63283032
8889788,270520709
9140402,164785003
7100673,279915941
11668602,27456464
8091492,159106463
7105618,158555021
5185481,137155319
6716161,273506903
5870675,122137349
6627543,273230898
7418282,123363415
9419918,273370970
4995242,120821078
2848999,122517505
6600579,159217115
5171803,121013549
3232582,122607079
11037481,27458704
7778427,268604095
5809967,168813016
12120077,27777379
9658096,271662405
9777737,271254259
3850808,137218137
5559847,170648016
7777639,268297767
7668995,158219085
9972092,268615339
8409406,123313030
10718821,405719867
6961540,271750525
11605285,299087828
3660866,139036115
5341753,120043867
7420204,123453700
5702569,122601103
9703122,158786915
5024750,139153919
9279280,159646462
4932500,138643045
7697148,272373045
7180925,164728839
4372282,138214782
9812934,351897743
9893151,63453337
11231502,48448907
8409260,123235193
8681537,158835313
10783298,279917148
4273493,138645053
2695850,120971086
3647067,351060815
2558441,121126790
6848365,158316698
4992108,120354131
10676147,27645454
4668267,139107977
9033910,272073232
5964908,138096626
4175557,184087762
10330064,158489915
10462985,158839274
7887124,159443078
5272889,122713037
5193813,138425994
8710207,274128943
9398387,159049669
8493034,159579420
11564467,27186791
3842536,121939149
8183363,273138513
10933535,28089120
10528286,158984292
5775242,120819616
8760568,271162320
5794265,137899862
5730530,170258569
4166129,138302803
4929808,138216538
9368424,239287017
3453055,138365176
9662989,272844829
10665014,62916155
9852099,268614863
10287334,272600108
12217239,27686414
2997455,138037462
4477984,138972818
5304860,171100107
11391047,48451095
8463105,185336204
6027040,120688607
8075066,123234637
2583001,137977407
5179722,122069950
4469096,137896118
10130465,158488367
8846163,239308404
10843970,48189378
10515951,123446452
4176804,184244503
10472574,63454719
9182817,184945888
5796177,138219335
9775385,270697641
8941196,158326144
8417164,279913734
10214535,271039727
4078202,184554642
12218840,351194075
3765701,184243129
11612601,26666718
7340290,164460922
2163457,137487244
12315090,27534276
7977381,273139693
1575424,351053112
5272843,122713087
5937279,390205833
3857946,138213126
6288382,137901411
5479932,171975941
3646576,137318678
9935683,164525903
3453029,138365366
5717420,139156963
7817318,159306357
7349312,158424796
2156782,122516432
4553379,121987985
7539125,271347718
7033500,63007124
7809009,158219331
5612599,122069044
11656981,299154262
9172719,273687597
7744818,158796602
10921551,26596871
12120497,27844879
2423932,120890965
4457446,122071335
4059317,137482866
11858541,299030033
5867450,121791871
3003682,377871127
5174891,121465397
6706443,271961535
7821528,159765545
6393298,171970368
10988040,27988986
10546539,272280221
9224372,270956143
7034495,63123173
7050047,272183865
11081745,290035009
7742671,158556282
7986999,269122718
8538854,123312830
10292295,273682630
9220793,63451653
11904719,405688733
6938873,158794867
4138848,120627791
5130268,171878439
8711794,268481319
8316149,273038076
7270901,158634185
3447283,137550104
8483012,158220652
3968844,139035123
7677587,159306835
6131505,138639225
7117330,63004507
7879943,158433569
6208441,137901107
2695249,120963426
6463936,169465460
6210212,138220404
9971475,268386729
9406450,63452007
6446638,137902350
11237625,298967288
10745906,27988042
12071777,27845095
8653777,240195193
10556342,268384240
9719270,271662134
10149913,271423834
2579061,137486419
7989067,239272338
10913459,298966482
7347552,158218580
2582846,137890995
10121721,164407095
6119788,122598270
9455814,158491629
7977108,273036550
12154967,299153004
2442687,137096582
10412115,271252141
6283543,137088114
8087924,158636005
7456924,271539362
8174845,271349687
4347469,120684233
7956568,159442842
8057568,239239132
9288456,271255805
4658305,137762839
11873436,27776398
